日期,委托时间,品种,标的,交易类型,下单类型,成交数量,成交价,成交额,委托数量,委托价格,平仓盈亏,手续费,状态,最后更新时间
2019-04-24,09:35:00,股票,白云机场(600004.XSHG),卖,市价单,-4800股,14.35,-68880,-4800股,-,-3168,89.54,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,中国平安(601318.XSHG),卖,市价单,-900股,86.46,-77814,-900股,-,6822,101.16,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,五粮液(000858.XSHE),卖,市价单,-700股,105.45,-73815,-700股,-,7476,95.96,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,老板电器(002508.XSHE),卖,市价单,-2100股,29.91,-62811,-2100股,-,-7728,81.65,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,长江电力(600900.XSHG),卖,市价单,-4200股,16.78,-70476,-4200股,-,-840,91.62,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,福耀玻璃(600660.XSHG),卖,市价单,-2900股,26.58,-77082,-2900股,-,5684,100.21,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,海康威视(002415.XSHE),卖,市价单,-2000股,33.12,-66240,-2000股,-,-5040,86.11,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,海螺水泥(600585.XSHG),卖,市价单,-1800股,40.75,-73350,-1800股,-,2340,95.36,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,恒瑞医药(600276.XSHG),卖,市价单,-1000股,63.32,-63320,-1000股,-,-3900,82.32,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,欧派家居(603833.XSHG),卖,市价单,-500股,121.27,-60635,-500股,-,-4825,78.83,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,青岛海尔(600690.XSHG),卖,市价单,-4100股,17.62,-72242,-4100股,-,533,93.91,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,中国国旅(601888.XSHG),卖,市价单,-900股,78.08,-70272,-900股,-,5346,91.35,全部成交,2019-04-24 09:35:00
2019-04-24,09:35:00,股票,宇通客车(600066.XSHG),卖,市价单,-5300股,15.53,-82309,-5300股,-,10706,107,全部成交,2019-04-24 09:35:00
2019-08-20,09:35:00,股票,大族激光(002008.XSHE),买,市价单,2200股,32.19,70818,2200股,-,0,21.25,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,国电南瑞(600406.XSHG),买,市价单,4000股,18.22,72880,4000股,-,0,21.86,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,三花智控(002050.XSHE),买,市价单,7000股,10.39,72730,7000股,-,0,21.82,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,福耀玻璃(600660.XSHG),买,市价单,3300股,21.63,71379,3300股,-,0,21.41,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,海螺水泥(600585.XSHG),买,市价单,1800股,39.65,71370,1800股,-,0,21.41,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,三一重工(600031.XSHG),买,市价单,5300股,13.64,72292,5300股,-,0,21.69,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,中国国旅(601888.XSHG),买,市价单,800股,91.02,72816,800股,-,0,21.84,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,宇通客车(600066.XSHG),买,市价单,5400股,13.49,72846,5400股,-,0,21.85,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,伊利股份(600887.XSHG),买,市价单,2500股,29.08,72700,2500股,-,0,21.81,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,白云机场(600004.XSHG),买,市价单,4000股,18.17,72680,4000股,-,0,21.8,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,爱尔眼科(300015.XSHE),买,市价单,2200股,32.12,70664,2200股,-,0,21.2,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,老板电器(002508.XSHE),买,市价单,2900股,24.99,72471,2900股,-,0,21.74,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,恒瑞医药(600276.XSHG),买,市价单,1000股,72.30,72300,1000股,-,0,21.69,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,海尔智家(600690.XSHG),买,市价单,4700股,15.42,72474,4700股,-,0,21.74,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,格力电器(000651.XSHE),买,市价单,1400股,52.26,73164,1400股,-,0,21.95,全部成交,2019-08-20 09:35:00
2019-08-20,09:35:00,股票,欧派家居(603833.XSHG),买,市价单,600股,112.02,67212,600股,-,0,20.16,全部成交,2019-08-20 09:35:00
2019-08-28,09:35:00,股票,大族激光(002008.XSHE),卖,市价单,-2200股,30.65,-67430,-2200股,-,-3388,87.66,全部成交,2019-08-28 09:35:00
2019-08-28,09:35:00,股票,宇通客车(600066.XSHG),卖,市价单,-5400股,14.66,-79164,-5400股,-,6318,102.91,全部成交,2019-08-28 09:35:00
2019-08-28,09:35:00,股票,三一重工(600031.XSHG),卖,市价单,-5300股,13.74,-72822,-5300股,-,530,94.67,全部成交,2019-08-28 09:35:00
2019-08-28,09:35:00,股票,美的集团(000333.XSHE),买,市价单,5900股,52.41,309219,5900股,-,0,92.77,全部成交,2019-08-28 09:35:00
2019-09-06,09:35:00,股票,美的集团(000333.XSHE),卖,市价单,-5900股,53.98,-318482,-5900股,-,9263,414.03,全部成交,2019-09-06 09:35:00
2019-09-06,09:35:00,股票,三一重工(600031.XSHG),买,市价单,21600股,14.80,319680,21600股,-,0,95.9,全部成交,2019-09-06 09:35:00
2019-11-27,09:35:00,股票,三一重工(600031.XSHG),卖,市价单,-21600股,14.79,-319464,-21600股,-,-216,415.3,全部成交,2019-11-27 09:35:00
2019-11-27,09:35:00,股票,爱尔眼科(300015.XSHE),卖,市价单,-2200股,41.12,-90464,-2200股,-,19800,117.6,全部成交,2019-11-27 09:35:00
2019-11-27,09:35:00,股票,广联达(002410.XSHE),买,市价单,8000股,34.17,273360,8000股,-,0,82.01,全部成交,2019-11-27 09:35:00
2019-11-27,09:35:00,股票,汇川技术(300124.XSHE),买,市价单,5000股,26.70,133500,5000股,-,0,40.05,全部成交,2019-11-27 09:35:00
2019-11-27,09:35:00,股票,分众传媒(002027.XSHE),买,市价单,300股,5.74,1722,300股,-,0,5,全部成交,2019-11-27 09:35:00
